Sender Identifier: regionB
Poll interval: 100ms
"Start Time:java.util.GregorianCalendar[time=1304425788213,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""UTC"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2011,MONTH=4,WEEK_OF_YEAR=19,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=123,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=29,SECOND=48,MILLISECOND=213,ZONE_OFFSET=0,DST_OFFSET=0]"
Data format: Time in millis: File content on S3
1304425850235:6 1304425840392
1304425850347:6 1304425840392
1304425850463:6 1304425840392
1304425850579:6 1304425840392
1304425850691:6 1304425840392
1304425850807:6 1304425840392
1304425850919:6 1304425840392
1304425851031:6 1304425840392
1304425851159:6 1304425840392
1304425851271:6 1304425840392
1304425851383:6 1304425840392
1304425851495:6 1304425840392
1304425851611:7 1304425851314
1304425851731:7 1304425851314
1304425851847:7 1304425851314
1304425851959:7 1304425851314
1304425852072:7 1304425851314
1304425852188:7 1304425851314
1304425852299:7 1304425851314
1304425852416:7 1304425851314
1304425852556:7 1304425851314
1304425852692:7 1304425851314
1304425852804:7 1304425851314
1304425852920:7 1304425851314
1304425853044:7 1304425851314
1304425853160:7 1304425851314
1304425853272:7 1304425851314
1304425853384:7 1304425851314
1304425853496:7 1304425851314
1304425853632:7 1304425851314
1304425853748:7 1304425851314
1304425853860:7 1304425851314
1304425853972:7 1304425851314
1304425854084:7 1304425851314
1304425854200:7 1304425851314
1304425854320:7 1304425851314
1304425854436:7 1304425851314
1304425854548:7 1304425851314
1304425854660:7 1304425851314
1304425854776:7 1304425851314
1304425854892:7 1304425851314
1304425855020:7 1304425851314
1304425855136:7 1304425851314
1304425855332:7 1304425851314
1304425855448:7 1304425851314
1304425855560:7 1304425851314
1304425855672:7 1304425851314
1304425855788:7 1304425851314
1304425855904:7 1304425851314
1304425856020:7 1304425851314
1304425856140:7 1304425851314
1304425856256:7 1304425851314
1304425856392:7 1304425851314
1304425856544:7 1304425851314
1304425856660:7 1304425851314
1304425856776:7 1304425851314
1304425856912:7 1304425851314
1304425857032:7 1304425851314
1304425857144:7 1304425851314
1304425857288:7 1304425851314
1304425857436:7 1304425851314
1304425857548:7 1304425851314
1304425857664:7 1304425851314
1304425857884:7 1304425851314
1304425858024:7 1304425851314
1304425858136:7 1304425851314
1304425858248:7 1304425851314
1304425858360:7 1304425851314
1304425858472:7 1304425851314
1304425858600:7 1304425851314
1304425859088:7 1304425851314
1304425859204:7 1304425851314
1304425859320:7 1304425851314
1304425859436:7 1304425851314
1304425859552:7 1304425851314
1304425859664:7 1304425851314
1304425859776:7 1304425851314
1304425859912:7 1304425851314
1304425860024:7 1304425851314
1304425860144:7 1304425851314
1304425860260:7 1304425851314
1304425860376:7 1304425851314
1304425860492:7 1304425851314
1304425860956:7 1304425851314
1304425861084:7 1304425851314
1304425861272:7 1304425851314
1304425861388:7 1304425851314
1304425861500:7 1304425851314
1304425861616:7 1304425851314
1304425861752:7 1304425851314
1304425861868:7 1304425851314
1304425861988:7 1304425851314
1304425862104:7 1304425851314
1304425862216:7 1304425851314
1304425862332:7 1304425851314
1304425862444:7 1304425851314
1304425862564:8 1304425862208
1304425862700:8 1304425862208
1304425862816:8 1304425862208
1304425862936:8 1304425862208
1304425863056:8 1304425862208
1304425863172:8 1304425862208
1304425863288:8 1304425862208
1304425863400:8 1304425862208
1304425863512:8 1304425862208
1304425863624:8 1304425862208
1304425864836:8 1304425862208
1304425864952:8 1304425862208
1304425865064:8 1304425862208
1304425865176:8 1304425862208
1304425865288:8 1304425862208
1304425865412:8 1304425862208
1304425865528:8 1304425862208
1304425865640:8 1304425862208
1304425865756:8 1304425862208
1304425865872:8 1304425862208
1304425865988:8 1304425862208
1304425866100:8 1304425862208
1304425866212:8 1304425862208
1304425866340:8 1304425862208
1304425866457:8 1304425862208
1304425866588:8 1304425862208
1304425866700:8 1304425862208
1304425866812:8 1304425862208
1304425866928:8 1304425862208
1304425867044:8 1304425862208
1304425867156:8 1304425862208
1304425867332:8 1304425862208
1304425867444:8 1304425862208
1304425867556:8 1304425862208
1304425867672:8 1304425862208
1304425867784:8 1304425862208
1304425867897:8 1304425862208
1304425868008:8 1304425862208
1304425868124:8 1304425862208
1304425868236:8 1304425862208
1304425868352:8 1304425862208
1304425868468:8 1304425862208
1304425868580:8 1304425862208
1304425868697:8 1304425862208
1304425868813:8 1304425862208
1304425868929:8 1304425862208
1304425869045:8 1304425862208
1304425869173:8 1304425862208
1304425869285:8 1304425862208
1304425869413:8 1304425862208
1304425869529:8 1304425862208
1304425869645:8 1304425862208
1304425869761:8 1304425862208
1304425869881:8 1304425862208
1304425869997:8 1304425862208
1304425870109:8 1304425862208
1304425870221:8 1304425862208
1304425870341:8 1304425862208
1304425870453:8 1304425862208
1304425870569:8 1304425862208
1304425870701:8 1304425862208
1304425870813:8 1304425862208
1304425871061:8 1304425862208
1304425871181:8 1304425862208
1304425871297:8 1304425862208
1304425871413:8 1304425862208
1304425871529:8 1304425862208
1304425871661:8 1304425862208
1304425871773:8 1304425862208
1304425871885:8 1304425862208
1304425871997:8 1304425862208
1304425872113:8 1304425862208
1304425872225:8 1304425862208
1304425872337:8 1304425862208
1304425872449:8 1304425862208
1304425872561:8 1304425862208
1304425872673:8 1304425862208
1304425872785:8 1304425862208
1304425872897:8 1304425862208
1304425873013:8 1304425862208
1304425873157:8 1304425862208
