Sender Identifier: cmon1
Poll interval: 10ms
Start Time:java.util.GregorianCalendar[time=1314979241978,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="UTC",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=2,minimalDaysInFirstWeek=4,ERA=1,YEAR=2011,MONTH=8,WEEK_OF_YEAR=35,WEEK_OF_MONTH=1,DAY_OF_MONTH=2,DAY_OF_YEAR=245,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=4,HOUR_OF_DAY=16,MINUTE=0,SECOND=41,MILLISECOND=978,ZONE_OFFSET=0,DST_OFFSET=0]
Data format: Time in millis: File content on monitored storage system
1314979249179:3 1314979239809
1314979249222:3 1314979239809
1314979249234:3 1314979239809
1314979249248:3 1314979239809
1314979249261:3 1314979239809
1314979249274:3 1314979239809
1314979249287:3 1314979239809
1314979249299:3 1314979239809
1314979249312:3 1314979239809
1314979249324:3 1314979239809
1314979249337:3 1314979239809
1314979249349:3 1314979239809
1314979249362:3 1314979239809
1314979249376:3 1314979239809
1314979249389:3 1314979239809
1314979249402:3 1314979239809
1314979249414:3 1314979239809
1314979249428:3 1314979239809
1314979249440:3 1314979239809
1314979249454:3 1314979239809
1314979249467:3 1314979239809
1314979249480:3 1314979239809
1314979249493:3 1314979239809
1314979249506:3 1314979239809
1314979249519:3 1314979239809
1314979249532:3 1314979239809
1314979249545:3 1314979239809
1314979249557:3 1314979239809
1314979249571:3 1314979239809
1314979249584:3 1314979239809
1314979249596:3 1314979239809
1314979249609:3 1314979239809
1314979249621:3 1314979239809
1314979249634:3 1314979239809
1314979249646:3 1314979239809
1314979249661:3 1314979239809
1314979249673:3 1314979239809
1314979249686:3 1314979239809
1314979249700:3 1314979239809
1314979249715:3 1314979239809
1314979249729:3 1314979239809
1314979249743:3 1314979239809
1314979249761:3 1314979239809
1314979249773:3 1314979239809
1314979249788:3 1314979239809
1314979249801:3 1314979239809
1314979249815:3 1314979239809
1314979249829:4 1314979249819
1314979249843:4 1314979249819
1314979249856:4 1314979249819
1314979249868:4 1314979249819
1314979249881:4 1314979249819
1314979249898:4 1314979249819
1314979249911:4 1314979249819
1314979249924:4 1314979249819
1314979249938:4 1314979249819
1314979249958:4 1314979249819
1314979249972:4 1314979249819
1314979249988:4 1314979249819
1314979250002:4 1314979249819
1314979250019:4 1314979249819
1314979250033:4 1314979249819
1314979250049:4 1314979249819
1314979250062:4 1314979249819
1314979250075:4 1314979249819
1314979250087:4 1314979249819
1314979250099:4 1314979249819
1314979250112:4 1314979249819
1314979250124:4 1314979249819
1314979250136:4 1314979249819
1314979250149:4 1314979249819
1314979250161:4 1314979249819
1314979250174:4 1314979249819
1314979250187:4 1314979249819
1314979250200:4 1314979249819
1314979250213:4 1314979249819
1314979250226:4 1314979249819
1314979250239:4 1314979249819
1314979250252:4 1314979249819
1314979250387:4 1314979249819
1314979250401:4 1314979249819
1314979250414:4 1314979249819
1314979250426:4 1314979249819
1314979250438:4 1314979249819
1314979250451:4 1314979249819
1314979250463:4 1314979249819
1314979250476:4 1314979249819
1314979250489:4 1314979249819
1314979250502:4 1314979249819
1314979250514:4 1314979249819
1314979250526:4 1314979249819
1314979250540:4 1314979249819
1314979250552:4 1314979249819
1314979250583:4 1314979249819
1314979250600:4 1314979249819
1314979250613:4 1314979249819
1314979250626:4 1314979249819
1314979250639:4 1314979249819
1314979250652:4 1314979249819
1314979250664:4 1314979249819
1314979250677:4 1314979249819
1314979250690:4 1314979249819
1314979250703:4 1314979249819
1314979250717:4 1314979249819
1314979250730:4 1314979249819
1314979250742:4 1314979249819
1314979250755:4 1314979249819
1314979250768:4 1314979249819
1314979250781:4 1314979249819
1314979250793:4 1314979249819
1314979250806:4 1314979249819
1314979250818:4 1314979249819
1314979250831:4 1314979249819
1314979250844:4 1314979249819
1314979250858:4 1314979249819
1314979250872:4 1314979249819
1314979250885:4 1314979249819
1314979250898:4 1314979249819
1314979250910:4 1314979249819
1314979250923:4 1314979249819
1314979250935:4 1314979249819
1314979250948:4 1314979249819
1314979250960:4 1314979249819
1314979250973:4 1314979249819
1314979250986:4 1314979249819
1314979250999:4 1314979249819
1314979251012:4 1314979249819
1314979251026:4 1314979249819
1314979251039:4 1314979249819
1314979251051:4 1314979249819
